현재일기_10,현재기온_10,일강수_10
흐림,25.3,0.0
비 끝남,24.275,25.85
흐림,24.65,18.424999999999997
약한비단속,23.925,28.200000000000003
구름많음,26.924999999999997,1.6749999999999998
흐림,27.675000000000004,0.0
소나기 끝,26.424999999999997,12.049999999999999
흐림,25.175,0.125
약한비계속,27.85,25.950000000000003
구름조금,27.5,0.0
소나기 끝,27.25,1.55
비 끝남,25.45,0.15
구름많음,24.900000000000002,0.0
맑음,25.825,0.0
구름조금,26.199999999999996,0.0
구름많음,25.225,0.0
구름조금,24.800000000000004,0.0
구름조금,24.9,0.0
구름많음,24.349999999999998,0.0
구름조금,23.625,0.0
보통비계속,20.200000000000003,4.725
보통비계속,20.599999999999998,66.025
흐림,20.85,0.0
맑음,22.424999999999997,0.0
구름많음,23.650000000000002,0.0
비 끝남,24.775,0.275
흐림,25.424999999999997,0.25
흐림,25.425,0.0
구름많음,25.425,0.0
박무,25.775000000000002,0.15
흐림,25.425,2.35
약한비계속,25.475,105.225
흐림,24.375,0.15000000000000002
맑음,25.099999999999998,0.0
흐림,22.599999999999998,0.0
비 끝남,22.525,0.275
흐림,23.549999999999997,0.0
구름많음,20.825000000000003,0.0
맑음,19.65,0.0
맑음,21.625,0.0
맑음,22.65,0.0
맑음,22.799999999999997,0.0
맑음,20.675,0.0
구름조금,20.674999999999997,0.0
흐림,18.975,0.0
구름많음,19.674999999999997,0.0
